Ngày,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,+/- giá,Khớp lệnh
17/12/2021,82400,84500,86000,82400,2200,25185800
16/12/2021,82800,82300,82800,81700,-300,3290500
15/12/2021,82200,82600,82900,81600,500,3589800
14/12/2021,82500,82100,83000,81900,,3082100
13/12/2021,81000,82100,83500,80900,1200,6503000
10/12/2021,81300,80900,81600,80600,-700,4327100
9/12/2021,81100,81600,81800,80600,600,2766400
8/12/2021,81700,81000,81800,80900,-600,3810100
7/12/2021,80600,81600,81800,80200,1900,4522700
6/12/2021,80900,79700,81100,79400,-500,6641800
3/12/2021,82600,80200,83100,80200,-2100,5699400
2/12/2021,83200,82300,83400,82300,-600,4813200
1/12/2021,84200,82900,84500,82800,-1700,6787500
30/11/2021,85500,84600,85500,83000,-200,8501600
29/11/2021,81600,84800,84800,81600,1500,11265700
26/11/2021,83900,83300,84900,83200,-600,8576100
25/11/2021,84300,83900,85000,83500,200,8611000
24/11/2021,82700,83700,83700,81800,1200,7322400
23/11/2021,81000,82500,82500,80700,1500,3583700
22/11/2021,81200,81000,81500,79700,500,6326700
19/11/2021,82900,80500,83100,80000,-2300,7517600
18/11/2021,83500,82800,83900,82400,-700,6316700
17/11/2021,83000,83500,84000,82800,500,5259600
16/11/2021,84000,83000,84300,82700,-1000,6114200
15/11/2021,82500,84000,84400,82100,2000,9673200
12/11/2021,81600,82000,82000,80800,500,5317400
11/11/2021,82700,81500,82800,81400,-1100,9431300
10/11/2021,83400,82600,83500,82600,-400,4154800
9/11/2021,82500,83000,84500,82000,600,8139200
8/11/2021,82500,82400,83000,81500,400,8203200
5/11/2021,82200,82000,82800,81600,-700,8244100
4/11/2021,82500,82700,83500,81800,-200,8241100
3/11/2021,85100,82900,85500,82600,-2100,11230500
2/11/2021,84400,85000,85200,84300,700,5784000
1/11/2021,86000,84300,86900,84000,-1200,9723600
29/10/2021,81200,85500,85500,81200,4500,15578000
28/10/2021,81300,81000,81500,80500,,5310000
27/10/2021,78900,81000,81200,78900,2300,8780700
26/10/2021,78900,78700,79300,78500,200,2940100
25/10/2021,78600,78500,79700,78200,500,6781600
22/10/2021,78200,78000,78900,78000,100,4153100
21/10/2021,78800,77900,78900,77900,-900,5861900
20/10/2021,79600,78800,79600,78200,-600,5507700
19/10/2021,78900,79400,79800,78500,500,5568400
18/10/2021,78800,78900,79500,78500,200,4542000
15/10/2021,78900,78700,79500,78100,-200,5269100
14/10/2021,80000,78900,80000,78800,-1100,8587800
13/10/2021,81000,80000,81000,79900,-900,5259700
12/10/2021,81000,80900,81600,80400,-100,8096900
11/10/2021,79900,81000,81000,79500,1100,5384000
8/10/2021,79800,79900,80800,79700,-100,3466200
7/10/2021,80600,80000,80800,79700,-500,2556200
6/10/2021,79700,80500,80500,79600,1100,4488000
5/10/2021,77800,79400,79600,77500,1400,4573100
4/10/2021,77000,78000,78200,76200,1000,4104600
1/10/2021,78300,77000,78300,77000,-1300,4115400
30/09/2021,78500,78300,79400,78200,100,3151100
29/09/2021,78500,78200,78900,77700,-300,2992100
28/09/2021,77500,78500,79400,77400,300,5298500
27/09/2021,79600,78200,79600,78200,-1400,5151700
24/09/2021,79300,79600,80300,78700,300,4577300
23/09/2021,78100,79300,79500,78000,1300,4687300
22/09/2021,78000,78000,78200,76000,500,8759600
21/09/2021,78500,77500,79800,76100,-2400,13434500
20/09/2021,80800,79900,81100,79900,-1300,5456900
17/09/2021,80100,81200,81500,79600,1100,6873600
16/09/2021,82000,80100,82500,80000,-1800,7925100
15/09/2021,82300,81900,83500,80700,700,9287400
14/09/2021,107000,107000,108400,106700,,10966200
13/09/2021,108000,107000,108100,106800,-500,9821600
10/9/2021,108000,107500,108900,107500,-200,15193100
9/9/2021,107500,107700,108900,107100,-200,9925000
8/9/2021,109700,107900,110000,107700,-1700,9311500
7/9/2021,109000,109600,111000,108500,1200,11598900
6/9/2021,107900,108400,108900,106800,1400,13077500
1/9/2021,108400,107000,109200,106600,600,21977200
31/08/2021,107000,106400,107100,106200,-500,10567000
30/08/2021,107100,106900,107700,106600,,8782700
27/08/2021,106000,106900,106900,105000,300,9953900
26/08/2021,107000,106600,107400,105000,-400,13182400
25/08/2021,107500,107000,107900,106800,-300,16184100
24/08/2021,107500,107300,108100,106500,100,20691400
23/08/2021,107500,107200,109000,107200,-900,15955500
20/08/2021,111000,108100,111000,107800,-2900,20500700
19/08/2021,110000,111000,111400,109000,1000,18153200
18/08/2021,110000,110000,113500,107900,-1000,23516400
17/08/2021,115000,111000,115500,110500,-5000,19975200
16/08/2021,121900,116000,121900,114600,-4000,18686700
13/08/2021,118000,120000,120700,117200,3000,10159600
12/8/2021,115800,117000,117300,115200,1000,5228900
11/8/2021,117000,116000,117700,115400,-1000,8250600
10/8/2021,118500,117000,119100,117000,-400,7700400
9/8/2021,113900,117400,117400,113500,3500,6329000
